county_clean,County,Total_Budget,Health_Total,Health_Recurrent,Health_Development,health_share,population_2019,crude_death_rate_per_1_000_population,infant_mortality_rate,maternal_mortality_rate,under_5_mortality_rate,live_births,maternal_deaths,neonatal_deaths,still_births,health_spend_per_capita,maternal_death_rate,spend_norm,infant_mortality_norm,maternal_mortality_norm,under5_mortality_norm,infant_score,maternal_score,under5_score,outcome_score,cost_efficiency,efficiency_score,efficiency_rank,prediction
nyamira,Nyamira,6526425651,1848548102,1649548102,199000000,0.28324050573023224,605576,7.6,27.1,349,43.8,13336.333333333334,2.6666666666666665,87.33333333333333,185.66666666666666,3052.5451834286696,0.44035210554359266,0.21645112313217588,0.1963927855711423,0.4912891986062718,0.20050441361916768,0.8036072144288577,0.5087108013937283,0.7994955863808323,0.7039378674011395,3.108564257330984,5.9501102010844,25,0
kisumu,Kisumu,9217889213,3145827056,2815045182,330781874,0.34127412288308223,1155574,7,39.1,343,63.1,31715.666666666668,59.666666666666664,369,643,2722.3068847170325,5.163379122987075,0.16896738862289756,0.4368737474949899,0.4808362369337979,0.4438839848675914,0.56312625250501,0.519163763066202,0.5561160151324086,0.5461353435678736,3.0515913975737567,5.815796897103394,26,0
machakos,Machakos,12231106619,4293811773,3545367364,748444409,0.3510566874079834,1421932,7.4,28.5,398,44,26054.666666666668,16.666666666666668,211.66666666666666,522,3019.7026109546728,1.172114184550785,0.2117288120070246,0.22444889779559113,0.5766550522648084,0.20302648171500629,0.7755511022044088,0.4233449477351916,0.7969735182849937,0.6652898560748647,3.0004664258688565,5.695269967353312,27,0
kisii,Kisii,11327000000,3675958458,2686149943,989808515,0.3245306310585327,1116436,9.8,25.9,325,41.7,31620.666666666668,34.333333333333336,262.3333333333333,472,3292.5832362983638,3.0752621138456067,0.2509653003764733,0.17234468937875747,0.44947735191637633,0.17402269861286257,0.8276553106212425,0.5505226480836236,0.8259773013871374,0.7347184200306679,2.8153874057997355,5.258946869145183,28,3
mandera,Mandera,13378745394,2402879900,1641523900,761356000,0.17960427747415134,867457,9.1,41.3,385,63.5,20473.333333333332,19.666666666666668,30.333333333333332,482,2770.027678605395,2.267163290706821,0.1758289837692123,0.48096192384769526,0.554006968641115,0.44892812105926855,0.5190380761523048,0.445993031358885,0.5510718789407314,0.5053676621506403,2.719530892868007,5.032965498106049,29,0
kilifi,Kilifi,13807774484,3801491894,2935567977,865923917,0.27531532314675655,1453787,10.2,40,532,62.5,39784.333333333336,41.333333333333336,218,990.6666666666666,2614.8891784009625,2.843149191273091,0.1535221968683164,0.4549098196392785,0.8101045296167247,0.43631778058007564,0.5450901803607215,0.18989547038327526,0.5636822194199244,0.4328892900546404,2.6472815210722977,4.862637874079719,30,0
kirinyaga,Kirinyaga,8634442271,2226984858,1513784858,713200000,0.2579187848043926,610411,10,24.1,248,39,11961.666666666666,8.666666666666666,86.33333333333333,181.66666666666666,3648.3367075626093,1.4198084023169086,0.302117766477978,0.13627254509018036,0.3153310104529617,0.13997477931904162,0.8637274549098196,0.6846689895470384,0.8600252206809584,0.8028072217126055,2.57212920229342,4.685466563388326,31,3
vihiga,Vihiga,6440640905,1634944844,1238471924,396472920,0.2538481601622533,590013,9.4,45.4,393,73.4,12268,10.666666666666666,78,243.66666666666666,2771.0318992971343,1.8078697701011106,0.1759733769207677,0.5631262525050099,0.5679442508710801,0.5737704918032787,0.4368737474949901,0.43205574912891986,0.42622950819672134,0.4317196682735438,2.321405759370999,4.094386983604169,32,0
samburu,Samburu,5493647720,1231158752,854783378,376375374,0.2241058791443584,310327,11.2,24.1,275,39,5409,8,57.666666666666664,122.66666666666667,3967.2949888343587,2.577925865296929,0.3479795893087343,0.13627254509018036,0.3623693379790941,0.13997477931904162,0.8637274549098196,0.6376306620209059,0.8600252206809584,0.7871277792038947,2.1988063082698486,3.805359235763857,33,3
embu,Embu,7107296920,2428167557,1904412841,523754716,0.3416443106755698,608599,7.5,26.3,244,42.4,12747.333333333334,14.333333333333334,223.66666666666666,288.3333333333333,3989.7659329049175,2.3551358666927373,0.351210602630272,0.18036072144288576,0.3083623693379791,0.18284993694829757,0.8196392785571143,0.6916376306620209,0.8171500630517025,0.7761423240902792,2.1487251992010963,3.687293208277779,34,3
makueni,Makueni,10400508264,3345021905,2592616891,752405013,0.32162100352137174,987653,5.5,30.9,479,48,18669,18,164.66666666666666,374,3386.8392087099414,1.8225024375970102,0.26451801545333153,0.27254509018036066,0.7177700348432056,0.25346784363177804,0.7274549098196393,0.28222996515679444,0.7465321563682219,0.5854056771148852,2.132485462377259,3.6490080894003665,35,3
baringo,Baringo,8029370014,2734848431,1962222769,772625662,0.34060560495176107,666763,6.9,26.4,274,42.4,13859.333333333334,10,107.66666666666667,261.6666666666667,4101.679953746683,1.4997832813158498,0.367302302697309,0.18236472945891777,0.3606271777003484,0.18284993694829757,0.8176352705410822,0.6393728222996515,0.8171500630517025,0.758052718630812,2.009138860832663,3.3582189371815896,36,3
kwale,Kwale,12232755516,3010267420,1698103384,1312164036,0.24608252948918005,866820,8.2,35.7,464,55.5,23030,21.333333333333332,157.33333333333334,513.3333333333334,3472.771071272006,2.4611030356167753,0.27687383779042457,0.3687374749498998,0.6916376306620209,0.3480453972257251,0.6312625250501003,0.3083623693379791,0.6519546027742749,0.5305264990541181,1.8493373363718644,2.981487440412925,37,3
marsabit,Marsabit,7820538914,1971322500,1181072500,790250000,0.2520699048592446,459785,12.9,26.4,321,42.5,9262.666666666666,13.666666666666666,47.666666666666664,271.3333333333333,4287.487630087976,2.972403768427997,0.39401889616207836,0.18236472945891777,0.4425087108013937,0.1841109709962169,0.8176352705410822,0.5574912891986064,0.8158890290037831,0.7303385295811573,1.8076840873506343,2.883290061495583,38,3
isiolo,Isiolo,4727633637,1057500530,847270700,210229830,0.22368495767600446,268002,10.6,35.1,451,56.6,5180,7,43.333333333333336,123.66666666666667,3945.8680532234835,2.611920806561145,0.3448986900736561,0.3567134268537074,0.6689895470383276,0.3619167717528373,0.6432865731462927,0.3310104529616724,0.6380832282471627,0.5374600847850426,1.5144042506144428,2.1918839423205485,39,3
garissa,Garissa,10162735255,2681472229,2157972229,523500000,0.2638533979009965,841353,6.5,42.1,641,64.6,16076,41.666666666666664,92,393.3333333333333,3187.095344047029,4.952340654477569,0.23579758939580492,0.49699398797595185,1,0.4627994955863807,0.5030060120240482,0,0.5372005044136192,0.34673550547922244,1.4106546216809246,1.947294579802257,40,3
tana river,Tana River,5693857764,1078876054,971076054,107800000,0.18948068229264606,315943,12.9,47.5,586,73.5,6200.666666666667,9.333333333333334,30,218.66666666666666,3414.7806851235823,2.9541193611927894,0.2685356162373675,0.6052104208416833,0.9041811846689896,0.5750315258511979,0.3947895791583167,0.09581881533101044,0.4249684741488021,0.3051922895460431,1.0957029254239388,1.2047971327905354,41,3
lamu,Lamu,4502378109,1223599906,900956372,322643534,0.27176746962990356,143920,7,37.5,306,60.2,3636.3333333333335,3.3333333333333335,36.666666666666664,104.66666666666667,8501.944872151194,2.3161015378914214,1,0.4048096192384769,0.4163763066202091,0.4073139974779319,0.5951903807615231,0.5836236933797909,0.5926860025220682,0.5905000255544607,0.5846534906479809,0,42,2
