Administrative Unit,Background Characteristic,Units,2019
Narok,Group Quarters,Number,3010
Narok,Land Area,sq. km,17932
Narok,Density,persons per sq. km,65
Kajiado,Total Population,Number,1117840
Kajiado,Male,Number,557098
Kajiado,Female,Number,560704
Kajiado,Intersex,Number,38
Kajiado,Total Households,Number,316179
Kajiado,Conventional,Number,313218
Kajiado,Group Quarters,Number,2961
Kajiado,Land Area,sq. km,21871
Kajiado,Density,persons per sq. km,51
Bomet,Total Population,Number,901777
Bomet,Male,Number,450741
Bomet,Female,Number,451008
Bomet,Intersex,Number,28
Bomet,Total Households,Number,206036
Bomet,Conventional,Number,205932
Bomet,Group Quarters,Number,104
Bomet,Land Area,sq. km,2436
Bomet,Density,persons per sq. km,370
Kericho,Total Population,Number,875689
Kericho,Male,Number,434287
Kericho,Female,Number,441379
Kericho,Intersex,Number,23
Kericho,Total Households,Number,187641
Kericho,Conventional,Number,187230
Kericho,Group Quarters,Number,411
Kericho,Land Area,sq. km,2507
Kericho,Density,persons per sq. km,349
Kakamega,Total Population,Number,1867579
Kakamega,Male,Number,897133
Kakamega,Female,Number,970406
Kakamega,Intersex,Number,40
Kakamega,Total Households,Number,433207
Kakamega,Conventional,Number,432284
Kakamega,Group Quarters,Number,923
Kakamega,Land Area,sq. km,3017
Kakamega,Density,persons per sq. km,619
Vihiga,Total Population,Number,590013
Vihiga,Male,Number,283678
Vihiga,Female,Number,306323
Vihiga,Intersex,Number,12
Vihiga,Total Households,Number,143365
Vihiga,Conventional,Number,143288
Vihiga,Group Quarters,Number,77
Vihiga,Land Area,sq. km,564
Vihiga,Density,persons per sq. km,1047
Bungoma,Total Population,Number,1670570
Bungoma,Male,Number,812146
Bungoma,Female,Number,858389
Bungoma,Intersex,Number,35
Bungoma,Total Households,Number,358796
Bungoma,Conventional,Number,357714
Bungoma,Group Quarters,Number,1082
Bungoma,Land Area,sq. km,3024
Bungoma,Density,persons per sq. km,552
Busia,Total Population,Number,893681
Busia,Male,Number,426252
Busia,Female,Number,467401
Busia,Intersex,Number,28
Busia,Total Households,Number,198152
Busia,Conventional,Number,197944
Busia,Group Quarters,Number,208
Busia,Land Area,sq. km,1700
Busia,Density,persons per sq. km,526
Siaya,Total Population,Number,993183
Siaya,Male,Number,471669
Siaya,Female,Number,521496
Siaya,Intersex,Number,18
Siaya,Total Households,Number,250698
Siaya,Conventional,Number,249341
Siaya,Group Quarters,Number,1357
Siaya,Land Area,sq. km,2530
Siaya,Density,persons per sq. km,393
Kisumu,Total Population,Number,1155574
Kisumu,Male,Number,560942
Kisumu,Female,Number,594609
Kisumu,Intersex,Number,23
Kisumu,Total Households,Number,300745
Kisumu,Conventional,Number,296846
Kisumu,Group Quarters,Number,3899
Kisumu,Land Area,sq. km,2085
Kisumu,Density,persons per sq. km,554
Homabay,Total Population,Number,1131950
Homabay,Male,Number,539560
Homabay,Female,Number,592367
Homabay,Intersex,Number,23
Homabay,Total Households,Number,262036
Homabay,Conventional,Number,260290
Homabay,Group Quarters,Number,1746
Homabay,Land Area,sq. km,3153
Homabay,Density,persons per sq. km,359
Kisii,Total Population,Number,1116436
Kisii,Male,Number,536187
Kisii,Female,Number,580214
Kisii,Intersex,Number,35
Kisii,Total Households,Number,240168
Kisii,Conventional,Number,238133
Kisii,Group Quarters,Number,2035
Kisii,Land Area,sq. km,2613
Kisii,Density,persons per sq. km,427
Migori,Total Population,Number,1266860
Migori,Male,Number,605784
Migori,Female,Number,661038
Migori,Intersex,Number,38
Migori,Total Households,Number,308054
Migori,Conventional,Number,307254
Migori,Group Quarters,Number,800
Migori,Land Area,sq. km,1323
Migori,Density,persons per sq. km,957
Nyamira,Total Population,Number,605576
Nyamira,Male,Number,290907
Nyamira,Female,Number,314656
Nyamira,Intersex,Number,13
